OCCURRENCE_YEAR,RACE_BIAS,ETHNICITY_BIAS,RELIGION_BIAS,SEXUAL_ORIENTATION_BIAS,GENDER_BIAS,LANGUAGE_BIAS,MENTAL_OR_PHYSICAL_DISABILITY,LOCATION_TYPE
2022,None,Chinese,None,Gay,None,None,YES,"House (Townhouse, Retirement Home, Garage, Vehicle, Cottage)"
2023,None,None,Catholic,None,None,None,None,Religious Place of Worship/Cultural Centre
2023,None,Pakistani,None,Lesbian,None,None,YES,Government Building
2022,Black,None,Other Christian Religion,2SLGBTQ+,None,None,None,Streets/Roadways/Highway
2020,None,None,Hindu,None,None,None,None,Other Commercial / Corporate Places
2023,None,None,Hindu,None,None,None,None,"House (Townhouse, Retirement Home, Garage, Vehicle, Cottage)"
2022,None,Japanese,"Christian Orthodox, Jewish",2SLGBTQ+,None,None,None,Public Transportation
2019,None,None,Jewish,None,Woman,None,YES,Other Commercial / Corporate Places
2020,Middle Eastern,African,Catholic,None,Transgender Man (Identifies As Man),None,None,"Government Building (Courthouse, Museums, Parliament Building, etc.)"
2020,None,None,Catholic,Gay,None,None,None,Government Building
2019,None,None,Other Christian Religion,None,None,None,None,"House (Townhouse, Retirement Home, Garage, Vehicle, Cottage)"
2022,White,"Chinese, Arab",Jewish,2SLGBTQ+,None,None,None,Business/Retail
2019,South Asian,Korean,Muslim,Lesbian,None,None,None,"House (Townhouse, Retirement Home, Garage, Vehicle, Cottage)"
2018,None,None,"Christian Orthodox, Jewish",None,None,None,YES,NA
2022,Black,None,Muslim,None,None,None,YES,"Government Building (Courthouse, Museums, Parliament Building, etc.)"
2018,East/Southeast Asian,None,Hindu,2SLGBTQ+,None,None,YES,Streets/Roadways/Highway
2022,Black,None,Jewish,Gay,None,None,None,"Educational Institution (Universities, Colleges, Schools, etc.)"
2019,None,None,Muslim,None,None,None,None,"Apartment Building (Condo, Retirement Buidling, etc.)"
2020,White,None,Anglican,None,None,None,YES,NA
2021,None,None,Christian Orthodox,Gay,None,None,None,"House (Townhouse, Retirement Home, Garage, Vehicle, Cottage)"
2021,South Asian,None,Other Christian Religion,Lesbian,Transgender Man (Identifies As Man),None,None,"Apartment Building (Condo, Retirement Buidling, etc.)"
2019,None,None,None,"Lesbian, 2SLGBTQ+",Woman,None,None,Non-Commercial/Non for Profit
2023,None,Sri Lankan,None,"Lesbian, 2SLGBTQ+",None,None,None,"Medical Facility (Hospitals, Long-term Care, etc.)"
2020,None,None,Christian Orthodox,None,Transgender,None,None,Business/Retail
2023,White,African,None,None,None,None,None,"Government Building (Courthouse, Museums, Parliament Building, etc.)"
2022,Middle Eastern,None,Other Christian Religion,Gay,"Transgender, Transgender Woman (Identifies As Woman)",None,None,"Medical Facility (Hospitals, Long-term Care, etc.)"
2018,None,African,None,None,None,None,None,"Medical Facility (Hospitals, Long-term Care, etc.)"
2022,Black,None,Muslim,None,None,None,None,Business/Retail
2018,None,None,Other Christian Religion,None,None,None,None,Public Transportation
2019,None,None,Christian Orthodox,None,None,None,None,Other Commercial / Corporate Places
2022,Black,None,Hindu,None,None,None,None,"Apartment Building (Condo, Retirement Buidling, etc.)"
2019,None,Arab,Other Christian Religion,None,None,None,YES,Religious Place of Worship/Cultural Centre
2019,East/Southeast Asian,None,Hindu,2SLGBTQ+,None,None,None,Public Transportation
2023,None,Other Ethnicity not mentioned,Catholic,None,Transgender Man (Identifies As Man),None,None,Non-Commercial/Non for Profit
2023,None,Chinese,Hindu,None,None,None,None,"Educational Institution (Universities, Colleges, Schools, etc.)"
2021,"Indigenous, East/Southeast Asian",None,Other Christian Religion,"Lesbian, 2SLGBTQ+",None,None,YES,"House (Townhouse, Retirement Home, Garage, Vehicle, Cottage)"
2018,Black,Japanese,Other Christian Religion,"Lesbian, 2SLGBTQ+","Transgender, Transgender Woman (Identifies As Woman)",None,YES,"Apartment Building (Condo, Retirement Buidling, etc.)"
2019,None,None,Hindu,"Lesbian, 2SLGBTQ+",None,None,YES,Business/Retail
2019,None,None,"Christian Orthodox, Jewish",None,Transgender Woman (Identifies As Woman),None,None,"Medical Facility (Hospitals, Long-term Care, etc.)"
2021,"East/Southeast Asian, South Asian, Black",Russian,Hindu,None,None,None,None,"Open Area, Park or Parking Lot"
2022,"Black, White",None,"Jewish, Muslim",None,Woman,None,YES,Business/Retail
2019,South Asian,None,Catholic,Lesbian,None,None,YES,Non-Commercial/Non for Profit
2019,None,Indian,Sikh,None,None,None,None,"Apartment Building (Condo, Retirement Buidling, etc.)"
2022,"Black, South Asian",Japanese,Jewish,None,Woman,None,None,Non-Commercial/Non for Profit
2020,"White, East/Southeast Asian",Latino,Anglican,None,None,None,None,Business/Retail
2023,"Indigenous, East/Southeast Asian",Indian,Anglican,"Lesbian, 2SLGBTQ+",None,None,None,"Government Building (Courthouse, Museums, Parliament Building, etc.)"
2021,Black,None,"Jewish, Muslim",None,None,None,None,Streets/Roadways/Highway
2023,None,Japanese,Hindu,Gay,Transgender Man (Identifies As Man),None,YES,Other Commercial / Corporate Places
2022,"Black, East/Southeast Asian",None,"Christian Orthodox, Jewish",Lesbian,None,None,YES,Other Commercial / Corporate Places
2018,None,None,Other Christian Religion,Lesbian,None,None,None,Government Building
2018,Black,Latino,Muslim,None,None,None,YES,Non-Commercial/Non for Profit
2022,"White, East/Southeast Asian",Russian,"Christian Orthodox, Jewish",Gay,None,None,None,"House (Townhouse, Retirement Home, Garage, Vehicle, Cottage)"
2020,East/Southeast Asian,Korean,"Christian Orthodox, Jewish",Lesbian,None,None,None,Public Transportation
2023,"East/Southeast Asian, South Asian, Black",Chinese,Anglican,"Lesbian, 2SLGBTQ+",None,None,None,Government Building
2021,Black,Israeli,Christian Orthodox,None,None,None,None,"Educational Institution (Universities, Colleges, Schools, etc.)"
2020,None,Israeli,None,None,None,None,None,Religious Place of Worship/Cultural Centre
2023,Black,None,"Christian Orthodox, Jewish",None,None,None,YES,"Medical Facility (Hospitals, Long-term Care, etc.)"
2021,None,None,None,None,Woman,None,None,Business/Retail
2019,None,None,Jewish,None,Woman,None,YES,Streets/Roadways/Highway
2018,Black,Russian,None,None,None,None,None,Public Transportation
2018,None,Palestinian,Other Christian Religion,None,None,None,YES,"House (Townhouse, Retirement Home, Garage, Vehicle, Cottage)"
2018,None,None,Christian Orthodox,Lesbian,None,None,YES,Other Commercial / Corporate Places
2020,"Black, East/Southeast Asian",None,"Christian Orthodox, Jewish",None,None,None,None,Non-Commercial/Non for Profit
2018,White,None,Muslim,Gay,None,None,None,NA
2022,Middle Eastern,None,"Jewish, Muslim",None,Woman,None,None,"Medical Facility (Hospitals, Long-term Care, etc.)"
2021,Black,Pakistani,"Jewish, Muslim",2SLGBTQ+,None,None,YES,Non-Commercial/Non for Profit
2023,None,None,Christian Orthodox,"Lesbian, 2SLGBTQ+",None,None,YES,Government Building
2018,"Black, South Asian",Russian,Muslim,None,None,None,YES,Streets/Roadways/Highway
2018,None,Japanese,"Jewish, Muslim",2SLGBTQ+,None,None,None,Streets/Roadways/Highway
2021,None,None,Jewish,2SLGBTQ+,Transgender,None,None,Government Building
2023,None,None,"Christian Orthodox, Jewish",None,None,None,None,"Educational Institution (Universities, Colleges, Schools, etc.)"
2021,White,None,Other Christian Religion,None,None,None,None,Business/Retail
2019,None,Indian,Christian Orthodox,None,None,None,YES,"Apartment Building (Condo, Retirement Buidling, etc.)"
2019,South Asian,None,Anglican,None,None,None,None,Business/Retail
2022,Black,None,Muslim,None,Woman,None,None,"Medical Facility (Hospitals, Long-term Care, etc.)"
2018,Black,None,"Jewish, Muslim",Lesbian,None,None,YES,Religious Place of Worship/Cultural Centre
2023,None,Chinese,Hindu,None,None,None,None,Other Commercial / Corporate Places
2018,Black,None,Sikh,Lesbian,None,None,None,NA
2020,Black,Indian,Christian Orthodox,None,None,None,None,"House (Townhouse, Retirement Home, Garage, Vehicle, Cottage)"
2023,Black,None,None,"Lesbian, 2SLGBTQ+",Transgender Man (Identifies As Man),None,None,Religious Place of Worship/Cultural Centre
2022,Black,None,Anglican,None,None,None,None,"Government Building (Courthouse, Museums, Parliament Building, etc.)"
2020,None,Filipino,None,Gay,None,None,YES,"Educational Institution (Universities, Colleges, Schools, etc.)"
2018,"Black, East/Southeast Asian",None,Muslim,None,None,None,None,"Open Area, Park or Parking Lot"
2022,None,None,"Jewish, Muslim",2SLGBTQ+,Transgender Man (Identifies As Man),None,YES,"Apartment Building (Condo, Retirement Buidling, etc.)"
2023,None,Korean,Anglican,"Lesbian, 2SLGBTQ+",None,None,None,Business/Retail
2020,None,None,Hindu,Gay,None,None,None,"Medical Facility (Hospitals, Long-term Care, etc.)"
2019,None,None,Christian Orthodox,"Lesbian, 2SLGBTQ+",None,None,YES,"Open Area, Park or Parking Lot"
2018,Black,None,"Christian Orthodox, Jewish",None,None,None,None,"House (Townhouse, Retirement Home, Garage, Vehicle, Cottage)"
2019,None,None,None,None,None,None,None,Business/Retail
2023,None,Japanese,None,2SLGBTQ+,None,None,None,"Government Building (Courthouse, Museums, Parliament Building, etc.)"
2018,"East/Southeast Asian, South Asian, Black",None,Other Christian Religion,"Lesbian, 2SLGBTQ+",None,None,YES,NA
2022,None,None,Catholic,None,None,None,None,Government Building
2019,None,Korean,Other Christian Religion,None,Transgender Man (Identifies As Man),None,YES,Business/Retail
2019,None,Mexican,Jewish,None,None,Hindi,YES,"Medical Facility (Hospitals, Long-term Care, etc.)"
2023,White,African,Hindu,Gay,None,None,None,"Apartment Building (Condo, Retirement Buidling, etc.)"
2021,None,Indian,Sikh,None,None,None,YES,"Educational Institution (Universities, Colleges, Schools, etc.)"
2020,None,"Indian, Filipino","Christian Orthodox, Jewish",None,"Transgender, Transgender Woman (Identifies As Woman)",None,None,"Government Building (Courthouse, Museums, Parliament Building, etc.)"
2023,None,None,Other Christian Religion,None,None,None,YES,"Open Area, Park or Parking Lot"
2019,None,None,"Jewish, Muslim",None,None,None,None,Business/Retail
2023,None,None,Jewish,"Lesbian, 2SLGBTQ+",None,None,None,"Educational Institution (Universities, Colleges, Schools, etc.)"
